"Product ID";"Active (0/1)";Name;Categories;"Price tax included";"Tax rules ID";"Wholesale price ?? Cost price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";Supplier;Brand;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;"Delivery time of in-stock products";"Delivery time of out-of-stock products with allowed";Quantity;"Minimal quantity";"Low stock level";"Send me an email when the quantity is below or equals";Visibility;"Additional shipping cost";"Base price";"Summary !!!!";"Short description";"Description !!!!";Tags;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Label when in stock";"Label when out of stock and back order allowed";"Available for YYYY-MM-DD";"Product avaible date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs";"Image  alt text";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"is vertual";"file url";nb_days_accessible;"Date expiration";nb_days_accessible;"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse;accessories
20;1;"Носки + мужские TM Бонус  ( ДОПРОДАЖА - ЦЕНА 2014 ГОДА)";"ТМ Акцент:";10;;8.000000;;;;;;2160;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;;;10000;200;0;1;both;0.00;;;;;;;;;noski-muzhskie-tm-bonus-doprodazha-cena-2014-goda;"Товар ---";"Товар --";1;0000-00-00;"2018-08-26 15:05:37";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/24/noski-muzhskie-tm-bonus-doprodazha-cena-2014-goda.jpg;0;0;;;new;;;;2;;0;0;0;0;1;;;;0
21;1;"Еще Носки ++ мужские TM Бонус  ( ДОПРОДАЖА - ЦЕНА 2014 ГОДА)";"	ТМ Furia:,Колготки женские";10;;8.000000;;;;;;2100;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;;;200;200;0;1;both;0.00;;;;;;заголовок;;"мета дата";noski-muzhskie-tm-bonus-doprodazha-cena-2014-goda;"Товар ---";"Товар --";1;0000-00-00;"2018-08-26 17:54:35";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/26/noski-muzhskie-tm-bonus-doprodazha-cena-2014-goda.jpg;0;0;"Состав:хлопок 60%:1:1,Цвет:зеленый:2:1";;new;;;;2;;0;0;0;0;1;;;;0
22;1;Носок;"	ТМ Furia:,ТМ Conte:,Чулки женские,Леггинсы детские,Колготки детские,Леггинсы женские,Колготки женские";10;;0.000000;;;;;;2199;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;;;100;1;0;;both;0.00;;;;;;;;;nosok;;;1;0000-00-00;"2018-08-26 17:58:55";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/27/nosok.jpg;0;0;"Состав:82% Полиамид 18% Еластан:1:1";;new;;;;2;;0;0;0;0;1;;;;0
24;1;"Носки всех размеров";"Каталог,ТМ Conte:,Чулки женские,Леггинсы детские,Колготки детские,Леггинсы женские,Колготки женские";20;;0.000000;;;;;;123;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;;;2260;1;0;;both;0.00;;;<p>сафафыаыфа</p>;;;;;;noski;;;1;0000-00-00;"2018-09-03 09:40:23";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/28/noski.jpg;0;0;"Состав:83% Полиамид 17% Еластан:1:1,Цвет:red:2:1";;new;;;;2;;0;0;0;0;1;;;;0
25;1;"Носки ""Наски серый""";"Каталог,ТМ Conte:,Колготки женские";9;;0.000000;;;;;;321;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;;;300;1;0;;both;0.00;;;"<p>Сводка текст</p>";;;;;;noski-naski-seryj;;;1;0000-00-00;"2018-09-03 10:19:20";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/29/noski-naski-seryj.jpg;0;0;"Состав:80% Полиамид 20% Еластан:1:1";;new;;;;2;;0;0;0;0;1;;;;0
26;1;"copy of Носки всех размеров";"Каталог,ТМ Conte:,Чулки женские,Леггинсы детские,Колготки детские,Леггинсы женские,Колготки женские";20;;0.000000;;;;;;123;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;;;1150;1;0;;both;0.00;;;<p>сафафыаыфа</p>;;;;;;noski;;;1;0000-00-00;"2018-09-03 10:35:45";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/30/noski.jpg;0;0;"Состав:83% Полиамид 17% Еластан:1:1,Цвет:red:2:1";;new;;;;2;;0;0;0;0;1;;;;0
27;1;"Носки + мужские TM Бонус  ( ДОПРОДАЖА - ЦЕНА 2014 ГОДА)";"ТМ Акцент:";12;1;8.000000;;;;;;2160;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000000;200;;1;0;;both;0.00;;;;;;;;;noski-muzhskie-tm-bonus-doprodazha-cena-2014-goda;;;1;0000-00-00;"2018-08-26 00:00:00";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/31/noski-muzhskie-tm-bonus-doprodazha-cena-2014-goda.jpg;0;0;;1;new;;;;;;0;0;0;0;1;;;;0
28;1;"Еще Носки ++ мужские TM Бонус  ( ДОПРОДАЖА - ЦЕНА 2014 ГОДА)";"Колготки женские,ТМ Furia:";12;1;8.000000;;;;;;2100;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;200000;200;;1;0;;both;0.00;;;"Состав:хлопок 60%:1:1,Цвет:зеленый:2:1";;;;;;eshhe-noski-muzhskie-tm-bonus-doprodazha-cena-2014-goda;;;1;0000-00-00;"2018-08-26 00:00:00";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/32/eshhe-noski-muzhskie-tm-bonus-doprodazha-cena-2014-goda.jpg;0;0;;1;new;;;;;;0;0;0;0;1;;;;0
29;1;Носок;"ТМ Conte:,Колготки женские,Чулки женские,Леггинсы детские,Колготки детские,Леггинсы женские,ТМ Furia:";12;1;0.000000;;;;;;2199;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;100000;1;;1;0;;both;0.00;;;"Состав:82% Полиамид 18% Еластан:1:1";;;;;;nosok;;;1;0000-00-00;"2018-08-26 00:00:00";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/33/nosok.jpg;0;0;;1;new;;;;;;0;0;0;0;1;;;;0
30;1;"Носки всех размеров";"Каталог,ТМ Conte:,Колготки женские,Чулки женские,Леггинсы детские,Колготки детские,Леггинсы женские";24;1;0.000000;;;;;;123;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;2260000;1;;1;0;;both;0.00;;;"Состав:83% Полиамид 17% Еластан:1:1,Цвет:red:2:1";<p>сафафыаыфа</p>;;;;;noski-vsekh-razmerov;;;1;0000-00-00;"2018-09-03 00:00:00";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/34/noski-vsekh-razmerov.jpg;0;0;;1;new;;;;;;0;0;0;0;1;;;;0
31;1;"Носки ""Наски серый""";"Каталог,ТМ Conte:,Колготки женские";10.8;1;0.000000;;;;;;321;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;3000000;1;;1;0;;both;0.00;;;"Состав:80% Полиамид 20% Еластан:1:1";"<p>Сводка текст</p>";;;;;noski-naski-seryj;;;1;0000-00-00;"2018-09-03 00:00:00";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/35/noski-naski-seryj.jpg;0;0;;1;new;;;;;;0;0;0;0;1;;;;0
32;1;"copy of Носки всех размеров";"Каталог,ТМ Conte:,Колготки женские,Чулки женские,Леггинсы детские,Колготки детские,Леггинсы женские";24;1;0.000000;;;;;;123;;0;0;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000150;1;;1;0;;both;0.00;;;"Состав:83% Полиамид 17% Еластан:1:1,Цвет:red:2:1";<p>сафафыаыфа</p>;;;;;copy-of-noski-vsekh-razmerov;;;1;0000-00-00;"2018-09-03 00:00:00";1;http://prestashop.xn----7sbbighlkm9ahj2air.xn--j1amh/36/copy-of-noski-vsekh-razmerov.jpg;0;0;;1;new;;;;;;0;0;0;0;1;;;;0
